,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
0,2,4,1.0,PA,1.0,496.3
1,3,4,1.0,,1.0,440.6
2,3,0,1.0,MG,1.0,410.4
3,2,3,1.0,PA,1.0,711.5
4,11,5,1.0,,1.0,543.1
5,2,3,1.0,MG,1.0,534.9
6,13,1,1.0,,1.0,406.4
7,12,1,1.0,,1.0,524.8
8,4,3,1.0,,1.0,535.1
9,12,1,,,1.0,601.4
10,3,1,,,0.0,
11,2,0,1.0,BA,1.0,481.6
12,4,3,3.0,DF,0.0,
13,2,3,1.0,PA,1.0,586.5
14,7,3,1.0,,1.0,395.3
15,4,1,1.0,,1.0,518.6
16,3,4,1.0,SE,1.0,493.7
17,12,1,1.0,,1.0,444.9
18,6,3,,,1.0,422.4
19,3,3,1.0,RJ,1.0,383.4
20,12,3,1.0,,0.0,
21,4,3,,,1.0,438.0
22,3,1,,,0.0,
23,3,1,1.0,,0.0,
24,8,3,1.0,,1.0,393.3
25,10,2,,,0.0,
26,5,3,,,1.0,489.3
27,11,1,1.0,,1.0,467.8
28,9,3,3.0,,1.0,395.8
29,4,2,1.0,,1.0,690.3
30,7,2,3.0,,1.0,426.1
31,11,3,,,0.0,
32,4,4,1.0,BA,1.0,447.8
33,2,3,1.0,PA,1.0,523.5
34,5,1,,,0.0,
35,11,1,3.0,,1.0,417.1
36,3,3,1.0,,1.0,443.3
37,2,3,1.0,PA,1.0,491.9
38,6,1,,,1.0,406.7
39,3,3,1.0,,1.0,665.5
40,13,3,1.0,,1.0,499.6
41,4,2,,,1.0,451.2
42,4,3,1.0,,1.0,556.2
43,4,3,,,0.0,
44,15,1,3.0,,0.0,
45,3,3,1.0,,1.0,391.4
46,3,1,1.0,RS,1.0,551.0
47,15,3,1.0,,1.0,520.9
48,12,2,1.0,,1.0,537.2
49,8,3,,,1.0,535.1
50,13,2,1.0,,1.0,381.0
51,1,3,1.0,SP,1.0,764.5
52,6,3,,,1.0,705.4
53,4,1,1.0,RS,1.0,720.1
54,10,3,1.0,,1.0,711.9
55,4,3,1.0,,1.0,633.6
56,3,1,1.0,,1.0,475.8
57,4,1,1.0,RJ,1.0,588.0
58,3,3,1.0,MT,1.0,466.3
59,2,3,3.0,PA,0.0,
60,2,3,1.0,CE,1.0,478.4
61,5,4,1.0,,1.0,485.5
62,6,1,1.0,,1.0,539.2
63,6,3,,,0.0,
64,11,3,1.0,,0.0,
65,6,1,1.0,,1.0,716.6
66,3,4,1.0,,0.0,
67,3,3,1.0,,1.0,508.0
68,3,3,1.0,CE,1.0,393.5
69,4,1,1.0,,1.0,527.7
70,3,1,1.0,SC,1.0,611.0
71,11,3,3.0,MG,1.0,532.3
72,10,3,1.0,,1.0,460.7
73,1,2,,,1.0,570.2
74,13,2,1.0,,1.0,583.9
75,6,2,,,0.0,
76,4,3,1.0,,1.0,650.0
77,2,3,1.0,CE,1.0,454.9
78,3,3,1.0,,1.0,493.6
79,9,4,1.0,,1.0,434.2
80,5,3,1.0,,0.0,
81,3,2,1.0,MA,1.0,504.6
82,2,0,,,0.0,
83,3,0,1.0,PE,1.0,440.4
84,6,1,1.0,,1.0,618.5
85,7,1,,,0.0,
86,5,3,,,1.0,515.3
87,6,3,1.0,,0.0,
88,5,1,1.0,,1.0,595.0
89,12,3,1.0,,0.0,
90,3,1,1.0,SP,0.0,
91,11,3,3.0,,1.0,511.7
92,7,2,,,1.0,392.0
93,2,1,1.0,CE,1.0,816.3
94,2,1,1.0,RS,1.0,567.8
95,13,3,3.0,,1.0,387.6
96,5,1,1.0,,1.0,485.6
97,3,3,,,1.0,499.3
98,9,3,,,1.0,489.0
99,4,3,1.0,,1.0,532.7
100,3,3,1.0,,1.0,577.3
101,5,1,1.0,,0.0,
102,1,1,,,1.0,818.4
103,7,3,1.0,,1.0,559.5
104,8,1,1.0,,1.0,560.3
105,5,3,1.0,PA,1.0,438.7
106,6,1,1.0,,1.0,525.7
107,18,2,1.0,,1.0,377.6
108,3,3,,,0.0,
109,2,3,,,1.0,434.1
110,12,2,1.0,,0.0,
111,2,3,1.0,RJ,1.0,626.2
112,4,3,,,1.0,394.9
113,3,3,,,1.0,636.7
114,1,3,1.0,AL,1.0,559.7
115,7,1,,,1.0,488.8
116,9,2,1.0,,0.0,
117,6,3,1.0,,1.0,423.6
118,4,4,1.0,,1.0,594.9
119,5,3,3.0,,1.0,478.3
120,8,3,1.0,,1.0,606.9
121,12,1,1.0,,1.0,516.8
122,11,1,1.0,,0.0,
123,12,3,3.0,MG,0.0,
124,13,1,1.0,,1.0,421.3
125,8,3,,,1.0,594.0
126,8,3,,,0.0,
127,13,1,,,1.0,469.9
128,8,1,,,1.0,497.4
129,2,1,1.0,RS,1.0,412.2
130,6,3,3.0,MA,1.0,414.4
131,2,3,1.0,CE,1.0,592.2
132,2,3,1.0,MG,1.0,600.1
133,6,2,1.0,,0.0,
134,5,3,,,1.0,444.1
135,9,3,1.0,,0.0,
136,3,3,1.0,,1.0,433.3
137,3,1,1.0,PR,1.0,487.8
138,5,3,1.0,,1.0,674.6
139,2,3,,,1.0,413.6
140,4,1,1.0,,1.0,615.5
141,7,3,1.0,,0.0,
142,7,3,1.0,,1.0,490.0
143,3,3,1.0,,0.0,
144,2,3,1.0,SP,1.0,536.0
145,2,1,,,1.0,568.2
146,11,5,1.0,,0.0,
147,5,3,,,1.0,734.7
148,14,3,1.0,,0.0,
149,6,3,3.0,PE,0.0,
150,3,3,,,1.0,409.6
151,4,3,1.0,,0.0,
152,5,3,1.0,,0.0,
153,10,3,1.0,,0.0,
154,3,3,1.0,,1.0,548.6
155,2,4,1.0,,1.0,434.7
156,2,3,1.0,PE,1.0,689.4
157,4,3,1.0,,0.0,
158,14,3,3.0,,1.0,481.1
159,9,3,1.0,,1.0,561.7
160,14,3,1.0,,1.0,710.2
161,4,3,,,1.0,659.7
162,4,2,1.0,SC,1.0,489.0
163,11,3,3.0,,0.0,
164,3,1,1.0,BA,1.0,575.2
165,14,3,,,0.0,
166,1,1,,,1.0,670.6
167,14,3,,,0.0,
168,2,3,1.0,SP,1.0,385.6
169,1,3,1.0,SC,1.0,661.7
170,1,3,,,1.0,515.6
171,6,1,,,1.0,424.0
172,12,3,1.0,,0.0,
173,14,3,3.0,,0.0,
174,11,1,1.0,,0.0,
175,3,2,1.0,,1.0,489.4
176,2,3,1.0,SP,0.0,
177,11,3,,,1.0,765.9
178,4,2,1.0,,1.0,679.2
179,7,3,1.0,,1.0,590.1
180,12,3,1.0,,0.0,
181,10,3,1.0,,0.0,
182,2,1,1.0,PA,1.0,530.2
183,13,3,,,1.0,483.8
184,6,1,,,1.0,643.6
185,2,1,1.0,SP,1.0,522.1
186,11,3,,,1.0,553.0
187,2,1,1.0,SP,1.0,498.5
188,3,1,1.0,SP,1.0,729.8
189,8,1,3.0,,1.0,514.7
190,4,3,1.0,,1.0,519.2
191,3,1,1.0,MG,1.0,479.7
192,2,3,1.0,RJ,0.0,
